"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,"A00-R99,U00-Y89 All causes, all ages",,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Age-standardised mortality rate,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lancashire,9.71,9.79,10.50,7.87,10.25,11.73,9.52,11.60,11.24,11.95
Knowsley,15.82,7.70,11.40,8.58,15.80,10.70,13.47,17.07,22.78,22.10
Liverpool,20.15,19.27,23.26,16.19,20.61,19.71,18.08,14.31,22.61,29.62
Sefton,12.67,12.29,14.39,11.68,8.91,15.10,10.58,14.33,15.02,19.53
St. Helens,5.73,8.04,10.60,6.88,7.03,4.99,7.52,17.40,21.43,24.32
Wirral,11.01,20.19,17.72,17.33,15.82,19.72,19.08,14.30,20.05,26.21
East Riding of Yorkshire,5.20,6.02,7.12,5.84,4.59,4.02,5.52,4.67,6.35,16.43
"Kingston upon Hull, City of",3.72,6.72,7.22,8.55,10.86,8.66,9.79,4.00,9.31,16.18
North East Lincolnshire,5.06,1.93,5.72,5.42,3.60,7.17,6.26,3.60,2.89,5.64
North Lincolnshire,7.12,3.75,8.26,6.46,4.06,9.87,7.94,-,4.88,4.92
York,7.27,10.28,6.78,9.45,8.91,6.12,14.78,10.77,15.11,20.87
North Yorkshire,6.17,7.53,8.36,9.08,8.65,9.81,8.71,8.45,11.19,15.14
Barnsley,6.55,7.45,13.67,5.52,10.28,11.82,11.76,10.19,15.22,12.81
Doncaster,5.46,10.23,9.48,7.69,8.45,13.00,7.94,5.95,6.28,12.89
Rotherham,10.03,7.20,9.70,10.51,8.11,12.66,10.74,12.27,9.55,7.60
Sheffield,10.52,9.18,12.67,12.54,8.79,14.08,9.29,11.28,9.01,11.20
Bradford,10.67,7.45,9.95,6.61,4.88,11.98,9.80,8.94,7.73,11.82
